symbol,entry_date,entry_price,exit_date,exit_price,shares,stop,target,outcome,bars_to_resolution,pnl,r_multiple,ema200_uptrend_pct,price_vs_ema200_pct,consolidation_range_pct,bounce_off_low_pct,price_vs_poc_pct,rr_ratio_planned,weak_rr,stop_distance_sanity_flag
HAL,2021-12-22 05:00:00,22.5913,2022-01-11 05:00:00,26.8666,4847,21.81,26.88,target_hit,13,20722.23,5.472,9.1,4.49,12.27,7.12,-2.68,5.0,False,False
HAL,2022-07-26 04:00:00,28.8444,2022-08-04 04:00:00,27.1664,2773,27.18,34.63,stop_hit,7,-4653.11,-1.008,39.23,-8.8,8.94,3.93,-0.4,5.0,False,False
HAL,2022-08-10 04:00:00,28.2441,2022-09-21 04:00:00,27.1664,4163,27.18,33.88,stop_hit,29,-4486.49,-1.013,32.81,-8.32,7.26,3.83,-0.84,5.0,False,False
HAL,2023-02-27 05:00:00,36.9585,2023-02-28 05:00:00,36.5517,10941,36.57,39.14,stop_hit,1,-4450.31,-1.047,13.23,6.35,9.66,3.6,-3.81,5.0,False,False
HAL,2023-03-02 05:00:00,37.2886,2023-03-09 05:00:00,36.5517,5666,36.57,42.23,stop_hit,5,-4175.39,-1.025,13.34,7.63,9.53,5.04,-2.47,5.0,False,False
HAL,2023-04-03 04:00:00,33.5968,2023-05-02 04:00:00,30.4947,1265,30.51,37.25,stop_hit,20,-3924.09,-1.005,14.26,-8.23,12.66,7.55,-18.1,5.0,False,False
HAL,2023-05-23 04:00:00,30.4352,2023-05-31 04:00:00,28.7156,2198,28.73,37.63,stop_hit,5,-3779.63,-1.008,7.09,-10.03,7.71,8.36,-10.36,5.0,False,False
HAL,2023-06-02 04:00:00,30.9455,2023-07-11 04:00:00,36.8416,1391,28.36,36.86,target_hit,25,8201.48,2.28,5.14,-10.1,9.74,7.5,-0.66,4.27,False,False
HAL,2023-11-15 05:00:00,39.2096,2023-11-16 05:00:00,38.021,3356,38.04,44.89,stop_hit,1,-3988.99,-1.016,10.28,5.33,7.12,3.65,-4.93,5.0,False,False
HAL,2023-12-15 05:00:00,35.6378,2024-01-08 05:00:00,35.1824,8601,35.2,38.63,stop_hit,14,-3916.98,-1.04,11.68,-3.24,10.17,4.24,-4.45,3.99,False,False
HAL,2024-01-23 05:00:00,34.4472,2024-03-06 05:00:00,35.3323,3040,33.26,38.49,expired_unresolved,30,2690.73,0.746,9.53,-6.21,9.71,3.67,0.35,3.44,False,False
HAL,2026-07-09 04:00:00,34.6773,2026-07-21 04:00:00,33.0435,2298,33.06,41.93,stop_hit,8,-3754.61,-1.01,33.97,3.09,12.19,6.13,-12.64,3.67,False,False
SUPN,2021-03-19 04:00:00,25.7629,2021-05-03 04:00:00,30.9845,1579,23.23,36.85,expired_unresolved,30,8244.95,2.061,6.28,2.9,10.84,5.42,-13.68,5.0,False,False
SUPN,2021-07-26 04:00:00,27.3637,2021-08-10 04:00:00,24.9075,1771,24.92,34.4,stop_hit,11,-4349.82,-1.005,19.51,-1.66,14.57,3.22,-8.62,3.07,False,False
SUPN,2021-08-24 04:00:00,24.9325,2021-10-06 04:00:00,26.4268,2280,23.11,33.29,expired_unresolved,30,3407.05,0.82,11.59,-8.18,14.75,6.81,-6.94,4.15,False,False
SUPN,2022-02-09 05:00:00,31.4157,2022-03-01 05:00:00,28.3558,1409,28.37,38.99,stop_hit,13,-4311.38,-1.004,5.17,7.52,8.69,7.51,4.24,2.75,True,False
SUPN,2022-03-11 05:00:00,31.3657,2022-04-25 04:00:00,29.2754,1422,28.47,41.9,expired_unresolved,30,-2972.44,-0.722,7.77,7.08,9.44,5.61,4.55,3.49,False,False
SUPN,2022-05-16 04:00:00,26.9235,2022-06-13 04:00:00,25.977,4285,25.99,31.03,stop_hit,19,-4055.54,-1.014,5.87,-9.4,14.76,5.92,-16.86,5.0,False,False
SUPN,2022-11-16 05:00:00,34.097,2022-12-30 05:00:00,35.6322,2787,32.72,40.63,expired_unresolved,30,4278.42,1.115,7.01,7.53,6.67,3.86,-1.72,5.0,False,False
SUPN,2023-03-15 04:00:00,35.2876,2023-03-17 04:00:00,34.9025,10906,34.92,43.54,stop_hit,2,-4199.85,-1.047,15.72,3.28,13.37,3.92,-5.51,5.0,False,False
SUPN,2023-03-22 04:00:00,36.3882,2023-03-23 04:00:00,34.9025,2616,34.92,45.64,stop_hit,1,-3886.45,-1.012,14.99,4.2,13.38,5.07,-4.6,5.0,False,False
SUPN,2023-03-28 04:00:00,36.4482,2023-05-10 04:00:00,36.6717,2145,34.73,44.83,expired_unresolved,30,479.28,0.13,14.59,3.3,9.37,4.21,-6.16,5.0,False,False
SUPN,2023-05-17 04:00:00,35.1276,2023-06-01 04:00:00,32.7036,1539,32.72,44.81,stop_hit,10,-3730.41,-1.007,12.77,-1.25,8.92,3.02,-3.51,3.89,False,False
SUPN,2023-06-07 04:00:00,34.8674,2023-06-21 04:00:00,32.8835,1807,32.9,42.9,stop_hit,9,-3584.86,-1.008,10.41,-2.4,6.67,4.76,-4.77,5.0,False,False
SUPN,2023-07-12 04:00:00,30.9755,2023-08-23 04:00:00,32.1039,1384,28.51,38.85,expired_unresolved,30,1561.79,0.458,5.11,-11.47,13.12,4.08,-9.18,3.66,False,False
SUPN,2025-03-18 04:00:00,31.7559,2025-04-08 04:00:00,30.7946,3674,30.81,39.18,stop_hit,15,-3531.72,-1.016,12.03,-5.06,5.33,3.42,1.63,5.0,False,False
SUPN,2025-04-10 04:00:00,31.0155,2025-04-21 04:00:00,30.065,3563,30.08,40.1,stop_hit,6,-3386.77,-1.016,10.49,-5.68,7.5,3.62,-0.31,5.0,False,False
SUPN,2025-04-25 04:00:00,31.4857,2025-06-09 04:00:00,33.2534,1139,28.68,38.31,expired_unresolved,30,2013.33,0.629,8.73,-6.29,7.86,3.37,-1.26,2.66,True,False
SUPN,2026-03-30 04:00:00,49.3647,2026-05-01 04:00:00,47.4663,1749,47.49,59.72,stop_hit,23,-3320.33,-1.013,26.42,7.12,12.86,3.73,0.88,5.0,False,False
SUPN,2026-05-12 04:00:00,49.1946,2026-05-27 04:00:00,47.4363,1813,47.46,58.67,stop_hit,10,-3187.83,-1.013,17.44,4.42,8.96,3.18,-2.05,5.0,False,False
SUPN,2026-06-10 04:00:00,45.7429,2026-06-15 04:00:00,43.7081,1499,43.73,55.19,stop_hit,3,-3050.05,-1.01,14.79,-3.34,11.74,3.63,-5.74,5.0,False,False
SUPN,2026-06-25 04:00:00,45.0225,2026-08-04 04:00:00,43.6082,2080,43.63,52.6,stop_hit,27,-2941.78,-1.016,12.41,-3.9,4.72,3.71,-6.94,5.0,False,False
DOW,2021-07-22 04:00:00,58.6093,2021-09-02 04:00:00,62.5487,2632,57.09,72.81,expired_unresolved,30,10368.55,2.592,21.16,-0.07,9.64,3.38,-5.43,5.0,False,False
DOW,2021-09-24 04:00:00,57.2386,2021-10-06 04:00:00,56.7716,10065,56.8,60.74,stop_hit,8,-4700.41,-1.065,13.21,-4.7,12.27,3.48,1.5,5.0,False,False
DOW,2021-10-08 04:00:00,58.8594,2021-10-13 04:00:00,56.7716,2052,56.8,67.04,stop_hit,3,-4284.2,-1.014,10.73,-2.67,7.09,5.37,3.36,5.0,False,False
DOW,2021-10-15 04:00:00,59.4697,2021-10-27 04:00:00,56.7716,1519,56.8,68.54,stop_hit,7,-4098.44,-1.011,9.61,-2.09,4.83,3.38,2.85,5.0,False,False
DOW,2021-11-03 04:00:00,58.4142,2021-11-30 05:00:00,55.922,1579,55.95,70.07,stop_hit,18,-3935.13,-1.011,7.3,-2.26,6.69,4.45,3.25,4.65,False,False
DOW,2024-05-17 04:00:00,59.1195,2024-05-31 04:00:00,56.6916,1556,56.72,66.57,stop_hit,9,-3777.82,-1.012,5.01,6.45,4.83,3.28,2.74,4.01,False,False
DOW,2026-06-05 04:00:00,34.5873,2026-06-09 04:00:00,33.4633,3235,33.48,40.64,stop_hit,2,-3636.22,-1.015,15.28,6.5,14.37,3.05,-10.31,4.42,False,False
DOW,2026-06-11 04:00:00,35.0525,2026-06-15 04:00:00,32.5537,1384,32.57,42.59,stop_hit,2,-3458.34,-1.006,16.29,4.63,8.91,3.1,-12.02,5.0,False,False
DOW,2026-07-14 04:00:00,31.1155,2026-07-27 04:00:00,29.0455,1604,29.06,36.9,stop_hit,9,-3320.41,-1.006,17.78,-5.65,12.41,12.42,-21.95,5.0,False,False
DOW,2026-07-30 04:00:00,30.1701,2026-08-04 04:00:00,29.0455,2852,29.06,37.5,stop_hit,3,-3207.38,-1.013,16.76,-4.61,8.93,6.89,3.71,5.0,False,False
DOW,2026-08-06 04:00:00,29.99,2026-08-20 04:00:00,32.5937,3266,29.06,32.61,target_hit,10,8503.71,2.799,16.21,-6.89,8.35,3.15,1.77,5.0,False,False
RIOT,2021-10-15 04:00:00,27.4837,2021-10-18 04:00:00,28.9155,1728,25.17,28.93,target_hit,1,2474.15,0.619,17.14,-11.66,11.87,5.07,-29.6,3.01,False,False
RIOT,2023-10-24 04:00:00,10.8054,2023-10-31 04:00:00,9.3653,2855,9.37,11.28,stop_hit,5,-4111.44,-1.003,30.65,-11.25,14.34,10.43,-11.83,5.0,False,False
RIOT,2023-11-22 05:00:00,11.2106,2023-12-04 05:00:00,14.3628,5697,10.52,14.37,target_hit,7,17958.15,4.564,21.69,3.07,14.96,14.81,2.76,5.0,False,False
RIOT,2024-02-05 05:00:00,11.1756,2024-02-06 05:00:00,10.5147,7097,10.52,14.7,stop_hit,1,-4690.02,-1.008,7.59,-5.9,14.89,11.48,11.48,5.0,False,False
RIOT,2024-02-08 05:00:00,11.8359,2024-02-12 05:00:00,15.2924,3393,10.52,15.3,target_hit,2,11727.68,2.626,5.68,-4.81,13.3,12.48,-25.71,5.0,False,False
