as_of_date,ticker,entry_price,predicted_price,predicted_return_pct,confidence,rf_confidence,gb_confidence,rf_r2,gb_r2,agreement_pct,actual_price,actual_return_pct,direction_correct
2026-02-17,MHK,131.845,134.0,1.63,3.4,4.4,2.4,0.03284194714444799,0.0,2.6,125.82,-4.57,False
2026-03-03,MHK,113.805,113.58,-0.2,1.4,1.7,1.1,0.0,0.0,0.4,108.03,-5.07,True
2026-03-17,MHK,104.41,104.58,0.16,0.3,0.3,0.4,0.0,0.0,0.5,101.96,-2.35,False
2026-03-31,MHK,98.43,99.17,0.75,0.2,0.0,0.4,0.0,0.0,0.7,101.005,2.62,True
2026-04-15,MHK,103.9,104.2,0.29,1.7,1.2,2.2,0.008678147573854877,0.0,0.9,108.3,4.23,True
2026-04-29,MHK,102.85,103.56,0.69,0.3,0.6,0.0,0.0,0.0,0.4,104.44,1.55,True
2026-05-13,MHK,97.95,98.53,0.59,2.2,2.0,2.5,0.0,0.0,0.5,100.43,2.53,True
2026-05-28,MHK,107.71,109.73,1.88,5.7,6.6,4.7,0.03604466153579022,0.02813412541423088,1.5,105.235,-2.3,False
2026-06-11,MHK,109.545,111.67,1.94,4.3,4.7,3.9,0.03151094417743994,0.011862901329298459,0.7,112.53,2.72,True
2026-06-26,MHK,119.67,119.55,-0.1,4.8,6.0,3.6,0.054304894718759655,0.04654489269687445,0.6,116.18,-2.92,True
2024-09-09,NRIX,23.455,25.23,7.57,2.2,2.8,1.6,0.0,0.0,1.9,25.47,8.59,True
2024-09-23,NRIX,24.15,26.73,10.68,1.5,1.5,1.5,0.0,0.0,5.7,22.51,-6.79,False
2024-10-07,NRIX,21.545,22.31,3.55,0.3,0.3,0.3,0.0,0.0,0.5,25.145,16.71,True
2024-10-21,NRIX,25.49,28.36,11.26,1.8,1.7,1.9,0.0,0.0,4.8,26.46,3.81,True
2024-11-04,NRIX,25.05,27.25,8.78,0.8,0.8,0.8,0.0,0.0,3.3,28.14,12.34,True
2024-11-18,NRIX,21.78,21.84,0.28,0.3,0.3,0.3,0.0,0.0,3.8,21.77,-0.05,False
2024-12-03,NRIX,20.85,20.3,-2.64,0.0,0.0,0.0,0.0,0.0,8.1,22.09,5.95,False
2024-12-17,NRIX,21.15,21.59,2.08,0.0,0.0,0.0,0.0,0.0,8.2,19.535,-7.64,False
2025-01-02,NRIX,19.5,19.18,-1.64,1.3,0.0,2.6,0.0,0.0,10.7,18.225,-6.54,True
2025-01-17,NRIX,19.17,18.98,-0.99,1.0,0.0,2.0,0.0,0.0,8.2,19.8,3.29,False
2025-02-03,NRIX,18.945,19.29,1.82,0.7,0.0,1.3,0.0,0.0,1.5,18.01,-4.94,False
2025-02-18,NRIX,16.75,16.65,-0.6,0.9,0.0,1.9,0.0,0.0,2.5,16.46,-1.73,True
2025-03-04,NRIX,14.26,13.86,-2.81,0.8,0.0,1.7,0.0,0.0,7.1,13.9,-2.52,True
2025-03-18,NRIX,13.68,13.59,-0.66,1.4,0.0,2.8,0.0,0.0,9.6,12.59,-7.97,True
2025-04-01,NRIX,10.455,10.18,-2.63,1.5,0.0,3.0,0.0,0.0,0.2,9.07,-13.25,True
2025-04-15,NRIX,9.82,9.88,0.61,1.6,0.0,3.1,0.0,0.0,2.3,11.61,18.23,True
2025-04-30,NRIX,11.51,12.36,7.38,1.1,0.0,2.2,0.0,0.0,2.8,9.295,-19.24,False
2025-05-14,NRIX,9.57,9.95,3.97,0.6,0.0,1.1,0.0,0.0,1.2,9.77,2.09,True
2025-05-29,NRIX,10.665,10.93,2.48,1.0,0.0,2.0,0.0,0.0,2.6,12.515,17.35,True
2025-06-12,NRIX,11.95,12.31,3.01,2.2,2.9,1.6,0.0009196649885117036,0.0,0.4,11.47,-4.02,False
2025-06-27,NRIX,11.645,12.26,5.28,5.8,9.6,2.0,0.011282670549816243,0.0,4.6,12.36,6.14,True
2025-07-14,NRIX,12.715,13.57,6.72,7.2,11.8,2.5,0.050697221550840665,0.0,5.3,11.24,-11.6,False
2025-07-28,NRIX,11.95,12.83,7.36,2.1,3.1,1.1,0.0,0.0,3.0,11.3,-5.44,False
2025-08-11,NRIX,9.645,9.59,-0.57,0.1,0.0,0.2,0.0,0.0,1.3,10.2,5.75,False
2025-08-25,NRIX,9.675,9.35,-3.36,0.0,0.0,0.0,0.0,0.0,0.7,9.11,-5.84,True
2025-09-09,NRIX,9.195,8.77,-4.62,0.1,0.0,0.2,0.0,0.0,0.6,8.43,-8.32,True
2025-09-23,NRIX,8.25,8.05,-2.42,0.1,0.2,0.0,0.0,0.0,1.0,9.255,12.18,False
2025-10-07,NRIX,9.83,9.91,0.81,0.1,0.0,0.3,0.0,0.0,1.4,9.175,-6.66,False
2025-10-21,NRIX,10.42,10.52,0.96,0.0,0.0,0.0,0.0,0.0,1.3,11.885,14.06,True
2025-11-04,NRIX,12.235,12.46,1.84,0.0,0.0,0.0,0.0,0.0,0.2,12.86,5.11,True
2025-11-18,NRIX,12.67,13.19,4.1,0.0,0.0,0.0,0.0,0.0,1.4,17.0,34.18,True
2025-12-03,NRIX,16.84,16.0,-4.99,0.0,0.0,0.0,0.0,0.0,5.4,19.61,16.45,False
2025-12-17,NRIX,18.205,17.46,-4.09,0.0,0.0,0.0,0.0,0.0,4.2,19.375,6.43,False
2026-01-02,NRIX,18.07,17.22,-4.7,0.2,0.4,0.0,0.0,0.0,7.2,19.31,6.86,False
2026-01-16,NRIX,19.21,18.99,-1.15,0.3,0.7,0.0,0.0,0.0,2.7,18.75,-2.39,True
2026-02-02,NRIX,17.11,17.12,0.06,0.9,1.3,0.4,0.0,0.0,0.3,16.7,-2.4,False
2026-02-17,NRIX,15.625,15.37,-1.63,1.5,2.6,0.4,0.0,0.0,0.9,16.01,2.46,False
2026-03-03,NRIX,15.82,15.46,-2.28,0.8,1.5,0.0,0.0,0.0,2.9,15.92,0.63,False
2026-03-17,NRIX,15.5,15.08,-2.71,0.2,0.4,0.0,0.0,0.0,2.3,14.46,-6.71,True
2026-03-31,NRIX,15.49,14.99,-3.23,0.3,0.6,0.0,0.0,0.0,3.9,15.63,0.9,False
2026-04-15,NRIX,16.985,17.18,1.15,0.0,0.0,0.0,0.0,0.0,0.9,16.63,-2.09,False
2026-04-29,NRIX,16.615,16.48,-0.81,0.0,0.0,0.0,0.0,0.0,2.7,16.935,1.93,False
2026-05-13,NRIX,16.185,16.44,1.58,0.0,0.0,0.0,0.0,0.0,0.7,16.46,1.7,True
2026-05-28,NRIX,17.665,17.93,1.5,0.0,0.0,0.0,0.0,0.0,0.2,15.28,-13.5,False
2026-06-11,NRIX,16.99,17.31,1.88,0.0,0.0,0.0,0.0,0.0,1.8,17.535,3.21,True
2026-06-26,NRIX,22.915,23.0,0.37,0.0,0.0,0.0,0.0,0.0,0.5,24.04,4.91,True
2024-09-09,PATH,12.2,12.0,-1.64,0.0,0.0,0.0,0.0,0.0,6.6,12.475,2.25,False
2024-09-23,PATH,12.91,12.77,-1.08,0.0,0.0,0.0,0.0,0.0,0.3,12.79,-0.93,True
2024-10-07,PATH,12.29,12.02,-2.2,0.0,0.0,0.0,0.0,0.0,0.3,12.73,3.58,False
2024-10-21,PATH,13.06,12.88,-1.38,0.0,0.0,0.0,0.0,0.0,0.9,12.47,-4.52,True
2024-11-04,PATH,12.32,12.21,-0.89,0.0,0.0,0.0,0.0,0.0,2.7,13.89,12.74,False
2024-11-18,PATH,12.52,12.3,-1.76,0.0,0.0,0.0,0.0,0.0,2.9,14.51,15.89,False
