as_of_date,ticker,smartscore,setup,near_miss,has_signal,setup_strength,trend_context,volume_bonus,base_tightness_bonus,meaningful_level_bonus,fibonacci_bonus,entry_price,actual_price,actual_return_pct,direction_correct
2025-07-28,EEM,100.0,Breakout,False,True,18.866757076390837,10.0,5.0,12.0,0.0,15.0,49.165,51.195,4.13,True
2025-08-11,EEM,66.0,Breakout,False,True,14.434669143646538,10.0,-10.0,12.0,0.0,-10.0,49.295,53.3,8.12,True
2025-08-25,EEM,84.0,Breakout,False,True,27.497461892466955,10.0,0.0,12.0,0.0,-15.0,50.345,54.07,7.4,True
2025-09-09,EEM,85.0,Breakout,False,True,34.704262280871816,10.0,0.0,12.0,0.0,-15.0,51.195,54.315,6.09,True
2025-09-23,EEM,85.0,Breakout,False,True,40.0,10.0,0.0,0.0,0.0,-15.0,53.3,54.625,2.49,True
2025-10-07,EEM,85.0,Breakout,False,True,38.93421575513324,10.0,-10.0,12.0,0.0,-15.0,54.07,54.025,-0.08,False
2025-10-21,EEM,81.0,Breakout,False,True,19.613666519848135,10.0,5.0,12.0,0.0,-15.0,54.315,54.34,0.05,True
2025-11-04,EEM,85.0,,True,True,0.0,10.0,0.0,0.0,10.0,15.0,54.625,52.61,-3.69,False
2025-11-18,EEM,100.0,Pullback,False,True,33.63352372459573,10.0,15.0,0.0,10.0,15.0,54.025,56.23,4.08,True
2025-12-03,EEM,45.0,,True,True,0.0,10.0,-10.0,0.0,10.0,-15.0,54.34,57.86,6.48,True
2025-12-17,EEM,88.0,,True,True,0.0,10.0,5.0,0.0,8.0,15.0,52.61,59.27,12.66,True
2026-01-02,EEM,85.0,Breakout,False,True,35.47178656888873,10.0,15.0,12.0,0.0,-15.0,56.23,60.86,8.23,True
2026-01-16,EEM,85.0,Breakout,False,True,36.41417130110556,10.0,5.0,12.0,0.0,-15.0,57.86,58.46,1.04,True
2026-02-02,EEM,85.0,Breakout,False,True,23.936868998184487,10.0,-10.0,12.0,0.0,0.0,59.27,58.76,-0.86,False
2026-02-17,EEM,89.0,Breakout,False,True,27.541213730905845,10.0,0.0,12.0,0.0,-10.0,60.86,56.78,-6.7,False
2026-03-03,EEM,100.0,Pullback,False,True,39.04185252163569,10.0,15.0,0.0,8.0,15.0,58.46,62.19,6.38,True
2026-03-17,EEM,71.0,Pullback,False,True,21.439518757825777,10.0,-10.0,0.0,10.0,-10.0,58.76,62.7,6.71,True
2026-03-31,EEM,,,False,False,,,,,,,56.78,67.22,18.39,True
2026-04-15,EEM,68.0,Breakout,False,True,33.65631604383861,10.0,-10.0,0.0,0.0,-15.0,62.19,68.62,10.34,True
2026-04-29,EEM,77.0,Breakout,False,True,17.44094032206131,10.0,-10.0,0.0,0.0,10.0,62.7,67.51,7.67,True
2026-05-13,EEM,76.0,Breakout,False,True,31.705473527332664,10.0,0.0,0.0,0.0,-15.0,67.22,67.18,-0.06,False
2024-09-09,EFA,100.0,Pullback,False,True,16.03649205896219,10.0,5.0,0.0,10.0,15.0,80.63,80.98,0.43,True
2024-11-18,EFA,,,False,False,,,,,,,77.55,75.34,-2.85,False
2024-12-03,EFA,,,False,False,,,,,,,79.64,76.78,-3.59,False
2024-12-17,EFA,,,False,False,,,,,,,77.445,78.31,1.12,True
2025-01-02,EFA,,,False,False,,,,,,,75.34,82.51,9.52,True
2025-02-03,EFA,90.0,,True,True,0.0,10.0,5.0,0.0,10.0,15.0,78.31,84.645,8.09,True
2025-02-18,EFA,85.0,Breakout,False,True,40.0,10.0,0.0,12.0,0.0,-15.0,82.51,81.855,-0.79,False
2025-03-04,EFA,90.0,Breakout,False,True,29.861726504713467,10.0,5.0,12.0,0.0,-10.0,82.45,80.54,-2.32,False
2025-03-18,EFA,78.0,Breakout,False,True,31.129204262783162,10.0,-10.0,12.0,0.0,-15.0,84.645,84.73,0.1,True
2025-04-01,EFA,100.0,Pullback,False,True,33.359924034566696,10.0,0.0,0.0,10.0,15.0,81.855,86.115,5.2,True
2025-04-15,EFA,,,False,False,,,,,,,80.54,88.67,10.09,True
2025-04-30,EFA,74.0,Breakout,False,True,29.936049319271685,10.0,0.0,0.0,0.0,-15.0,84.73,90.4,6.69,True
2025-05-14,EFA,87.0,Breakout,False,True,25.915068644611303,10.0,0.0,12.0,0.0,-10.0,86.115,89.34,3.74,True
2025-05-29,EFA,85.0,Breakout,False,True,33.5930413946946,10.0,-10.0,12.0,0.0,-10.0,88.67,88.95,0.32,True
2025-06-12,EFA,85.0,Breakout,False,True,38.27979378738388,10.0,0.0,12.0,0.0,-15.0,90.4,89.3,-1.22,False
2025-06-27,EFA,78.0,Breakout,False,True,16.584534714331827,10.0,0.0,12.0,0.0,-10.0,89.34,90.01,0.75,True
