as_of_date,ticker,smartscore,setup,near_miss,entry,stop,target,rr_ratio,weak_rr,direction_correct,actual_return_pct,bars_to_resolution
2025-06-03,EFA,78,Breakout,False,89.06,86.22,97.14,2.85,True,False,-3.19,13
2025-06-06,EFA,82,Breakout,False,89.74,86.87,97.72,2.78,True,False,-3.2,7
2025-06-11,EFA,85,Breakout,False,89.72,87.43,97.59,3.44,False,False,-2.55,4
2025-06-16,EFA,100,Pullback,False,88.09,87.52,95.9,13.7,False,False,-0.65,1
2025-06-20,EFA,100,Pullback,False,86.35,86.31,86.95,15.0,False,False,-0.05,1
2025-07-30,EFA,100,Pullback,False,88.48,87.58,92.25,4.19,False,False,-1.02,1
2025-08-04,EFA,100,Pullback,False,88.47,87.58,92.38,4.39,False,True,4.42,11
2025-08-28,EFA,100,Breakout,False,92.03,90.27,96.08,2.3,True,False,-1.91,2
2025-09-24,EFA,90,,True,92.57,91.61,96.36,3.95,False,False,-1.04,1
2025-10-10,EFA,100,Pullback,False,92.22,92.12,93.72,15.0,False,True,1.63,3
2025-10-15,EFA,70,,True,93.86,92.12,97.89,2.32,True,False,-1.85,26
2025-10-20,EFA,76,Breakout,False,95.28,92.12,99.03,1.19,True,False,-3.32,23
2025-10-28,EFA,85,Breakout,False,95.67,93.31,99.08,1.44,True,False,-2.47,15
2025-10-31,EFA,85,,True,94.46,93.52,97.82,3.57,False,False,-1.0,2
2025-11-05,EFA,100,Pullback,False,94.18,93.42,97.51,4.38,False,False,-0.81,2
2025-11-10,EFA,90,Breakout,False,95.31,93.34,98.72,1.73,True,False,-2.07,6
2025-11-13,EFA,85,Breakout,False,95.53,93.34,99.08,1.62,True,False,-2.29,3
2025-11-18,EFA,100,Pullback,False,92.82,92.3,96.21,6.52,False,False,-0.56,1
2025-11-21,EFA,100,Pullback,False,92.68,91.22,96.33,2.5,True,True,3.94,12
2025-11-26,EFA,60,,True,94.87,91.22,98.67,1.04,True,True,4.01,29
2025-12-02,EFA,55,,True,95.03,91.22,98.78,0.98,True,True,3.95,26
2025-12-05,EFA,68,Breakout,False,95.8,91.76,99.53,0.92,True,True,3.89,27
2025-12-10,EFA,85,Breakout,False,96.46,93.86,100.24,1.45,True,True,3.92,30
2025-12-15,EFA,85,Breakout,False,97.09,94.35,100.93,1.4,True,False,-2.82,2
2025-12-18,EFA,100,,True,94.82,93.98,98.92,4.88,False,True,4.32,15
2025-12-23,EFA,71,Breakout,False,96.31,94.14,100.44,1.9,True,True,4.29,21
2025-12-29,EFA,82,Breakout,False,96.31,94.14,100.41,1.89,True,True,4.26,18
2026-01-02,EFA,85,Breakout,False,97.03,94.58,101.15,1.68,True,True,4.25,16
2026-01-07,EFA,77,Breakout,False,97.94,95.49,101.9,1.62,True,True,4.04,13
2026-01-12,EFA,85,Breakout,False,99.42,95.93,103.45,1.15,True,True,4.05,19
2026-01-15,EFA,85,Breakout,False,99.27,96.52,103.28,1.46,True,True,4.04,16
2026-01-21,EFA,90,Breakout,False,99.03,96.9,103.19,1.95,True,True,4.2,13
2026-01-26,EFA,85,Breakout,False,100.48,97.43,104.7,1.38,True,True,4.2,12
2026-01-29,EFA,85,Breakout,False,101.69,97.88,106.15,1.17,True,False,-3.75,22
2026-02-03,EFA,100,Breakout,False,101.45,97.9,105.89,1.25,True,True,4.38,17
2026-02-06,EFA,85,Breakout,False,102.61,98.78,107.46,1.27,True,False,-3.73,16
2026-02-11,EFA,85,Breakout,False,104.92,99.89,109.86,0.98,True,False,-4.79,13
2026-02-17,EFA,85,Breakout,False,104.2,100.27,108.9,1.2,True,False,-3.77,10
2026-02-20,EFA,85,Breakout,False,104.93,101.27,109.41,1.22,True,False,-3.49,7
2026-02-25,EFA,85,Breakout,False,105.69,101.89,110.15,1.17,True,False,-3.6,4
2026-03-02,EFA,100,,True,103.26,99.77,107.89,1.33,True,False,-3.38,1
2026-03-05,EFA,100,Pullback,False,99.15,97.39,104.44,3.01,False,False,-1.78,1
2026-03-10,EFA,100,Pullback,False,99.23,97.39,104.53,2.88,True,False,-1.85,2
2026-03-13,EFA,98,,True,96.31,96.0,100.96,15.0,False,False,-0.32,4
2026-04-14,EFA,68,Breakout,False,103.64,102.5,111.25,6.68,False,False,-1.1,5
2026-04-17,EFA,68,Breakout,False,104.31,102.5,111.91,4.2,False,False,-1.74,2
2026-04-22,EFA,78,Breakout,False,101.99,99.77,109.59,3.42,False,False,-2.18,5
2026-04-27,EFA,75,,True,101.39,99.77,108.83,4.59,False,False,-1.6,2
2026-05-08,EFA,81,Breakout,False,103.99,102.5,111.99,5.37,False,False,-1.43,2
2026-05-13,EFA,73,Breakout,False,103.86,102.5,111.86,5.88,False,False,-1.31,2
2026-05-21,EFA,80,Breakout,False,104.18,102.5,112.4,4.89,False,False,-1.61,10
2026-05-27,EFA,81,Breakout,False,104.79,102.5,112.96,3.57,False,False,-2.19,7
2025-09-24,FLNC,85,Breakout,False,11.18,6.61,15.12,0.86,True,True,35.24,8
2025-10-02,FLNC,100,Breakout,False,13.06,12.71,18.02,14.17,False,True,37.98,8
2025-10-15,FLNC,85,Breakout,False,21.41,20.93,28.61,15.0,False,False,-2.24,1
2026-05-13,FLNC,90,Breakout,False,22.12,20.93,31.54,7.92,False,False,-5.38,1
2026-05-18,FLNC,82,Breakout,False,19.54,18.64,27.91,9.3,False,False,-4.61,1
2025-05-07,GAP,85,Breakout,False,23.26,22.4,29.83,7.64,False,False,-3.7,16
2025-05-12,GAP,100,Breakout,False,24.81,22.4,32.0,2.98,True,False,-9.71,13
2025-05-15,GAP,100,Breakout,False,26.42,21.6,34.07,1.59,True,False,-18.24,13
2025-05-23,GAP,85,Breakout,False,28.45,23.86,36.7,1.8,True,False,-16.13,4
2025-05-29,GAP,84,Breakout,False,27.94,24.74,35.85,2.47,True,False,-11.45,1
2025-06-03,GAP,100,Pullback,False,21.96,20.93,28.34,6.19,False,False,-4.69,1
2025-09-03,GAP,77,Breakout,False,22.57,22.4,25.03,14.47,False,False,-0.75,12
2025-09-08,GAP,75,Breakout,False,24.15,22.4,26.97,1.61,True,False,-7.25,9
2025-09-11,GAP,75,Breakout,False,24.21,22.4,26.89,1.48,True,False,-7.48,6
2025-09-19,GAP,95,Pullback,False,22.26,20.04,25.14,1.3,True,False,-9.97,15
2025-09-29,GAP,100,Pullback,False,21.34,20.04,24.13,2.15,True,False,-6.09,9
2025-10-31,GAP,85,,True,22.82,22.4,25.94,7.43,False,False,-1.84,2
2025-11-05,GAP,86,Breakout,False,23.44,22.4,26.67,3.11,False,True,13.78,14
2025-11-13,GAP,75,Breakout,False,24.29,22.4,27.76,1.84,True,True,14.29,9
2025-12-23,GAP,80,,True,26.38,25.09,30.26,3.01,False,False,-4.89,6
2026-01-26,GAP,85,,True,26.67,24.88,30.63,2.21,True,False,-6.71,28
2026-01-29,GAP,70,Breakout,False,27.69,25.78,31.75,2.13,True,False,-6.9,25
2026-02-20,GAP,85,Breakout,False,28.77,25.67,32.6,1.24,True,False,-10.78,10
2026-03-05,GAP,100,Pullback,False,27.26,26.48,30.86,4.62,False,False,-2.86,1
2026-04-22,GAP,75,,True,25.91,25.73,28.61,15.0,False,False,-0.69,1
2024-09-20,HYG,85,Breakout,False,80.23,78.97,81.5,1.01,True,False,-1.57,30
2024-09-25,HYG,90,Breakout,False,80.04,79.22,81.25,1.48,True,False,-1.02,20
2024-09-30,HYG,85,Breakout,False,80.3,79.45,81.5,1.41,True,False,-1.06,5
2024-10-03,HYG,90,,True,79.71,79.45,80.95,4.77,False,False,-0.33,2
2024-10-08,HYG,100,Pullback,False,79.44,79.25,80.69,6.58,False,False,-0.24,2
2024-10-11,HYG,100,Pullback,False,79.57,79.25,80.8,3.84,False,False,-0.4,8
2024-10-16,HYG,80,,True,79.75,79.25,80.97,2.44,True,False,-0.63,5
2024-10-21,HYG,100,Pullback,False,79.5,79.25,80.72,4.88,False,False,-0.31,2
2024-11-01,HYG,85,,True,78.77,78.73,79.37,15.0,False,True,0.76,4
2024-11-06,HYG,81,Pullback,False,79.32,78.6,80.4,1.5,True,False,-0.91,29
2024-11-11,HYG,68,Breakout,False,79.73,78.6,80.83,0.97,True,False,-1.42,26
2024-11-14,HYG,91,Pullback,False,79.27,78.6,80.38,1.66,True,False,-0.85,23
2024-11-19,HYG,70,,True,79.52,78.53,80.6,1.09,True,False,-1.24,20
2024-11-22,HYG,70,,True,79.49,78.53,80.57,1.13,True,False,-1.21,17
2024-11-27,HYG,85,Breakout,False,79.87,79.09,80.86,1.27,True,False,-0.98,14
2024-12-03,HYG,60,,True,79.64,78.57,80.65,0.94,True,False,-1.34,11
2024-12-06,HYG,86,Breakout,False,79.91,79.34,80.92,1.77,True,False,-0.71,8
2024-12-11,HYG,80,Breakout,False,79.85,79.42,80.85,2.33,True,False,-0.54,2
2024-12-16,HYG,98,Pullback,False,79.54,78.57,80.55,1.04,True,False,-1.22,2
2025-01-31,HYG,100,Breakout,False,79.73,79.11,81.12,2.24,True,False,-0.78,1
2025-02-05,HYG,84,Breakout,False,79.72,79.09,81.15,2.27,True,False,-0.79,23
2025-02-10,HYG,50,,True,79.52,79.1,80.94,3.38,False,False,-0.53,20
2025-02-13,HYG,50,,True,79.64,79.1,81.06,2.63,True,False,-0.68,17
2025-02-19,HYG,81,Breakout,False,79.73,79.19,81.15,2.63,True,False,-0.68,13
2025-02-24,HYG,77,Breakout,False,79.76,79.19,81.19,2.51,True,False,-0.71,10
2025-02-27,HYG,84,Breakout,False,79.9,79.38,81.31,2.71,True,False,-0.65,3
2025-03-04,HYG,100,Pullback,False,79.57,79.31,81.0,5.5,False,False,-0.33,2
2025-03-07,HYG,100,Pullback,False,79.46,79.28,80.89,7.94,False,False,-0.23,1
2025-03-12,HYG,100,Pullback,False,78.92,78.8,80.37,12.08,False,False,-0.15,1
2025-07-30,HYG,100,Breakout,False,80.36,80.01,81.48,3.2,False,False,-0.44,2
2025-08-07,HYG,60,,True,80.22,79.8,81.24,2.43,True,True,1.27,29
2025-08-20,HYG,60,,True,80.35,80.1,81.29,3.76,False,True,1.17,22
2025-08-28,HYG,80,Breakout,False,81.0,80.19,81.95,1.17,True,False,-1.0,30
2025-09-03,HYG,80,,True,80.59,80.19,81.61,2.55,True,False,-0.5,27
2025-09-08,HYG,79,Breakout,False,80.87,80.2,81.9,1.54,True,False,-0.83,24
2025-09-11,HYG,85,Breakout,False,81.04,80.2,82.06,1.21,True,False,-1.04,21
2025-09-16,HYG,85,Breakout,False,81.13,80.42,82.15,1.44,True,False,-0.88,17
2025-09-19,HYG,85,Breakout,False,81.25,80.64,82.26,1.66,True,False,-0.75,13
2025-09-24,HYG,82,Breakout,False,81.17,80.74,82.15,2.28,True,False,-0.53,10
2025-09-29,HYG,88,Breakout,False,81.22,80.76,82.17,2.07,True,False,-0.57,6
2025-10-02,HYG,99,Pullback,False,80.92,80.76,81.85,5.81,False,False,-0.2,3
2025-10-07,HYG,100,Pullback,False,80.77,80.73,81.37,15.0,False,False,-0.05,1
2025-10-10,HYG,100,,True,79.98,79.95,80.43,15.0,False,True,0.56,1
2025-10-28,HYG,82,Breakout,False,81.2,80.44,82.23,1.36,True,False,-0.94,4
2025-10-31,HYG,85,,True,80.8,80.55,81.85,4.2,False,False,-0.31,1
2025-12-15,HYG,60,,True,80.61,80.31,81.7,3.63,False,False,-0.37,5
2025-12-18,HYG,60,,True,80.77,80.34,81.87,2.56,True,False,-0.53,1
2026-01-12,HYG,91,Breakout,False,81.03,80.54,82.02,2.02,True,False,-0.6,15
2026-01-15,HYG,85,Breakout,False,81.03,80.59,81.99,2.18,True,False,-0.54,12
2026-01-21,HYG,85,Breakout,False,81.13,80.66,82.1,2.06,True,False,-0.58,8
2026-01-26,HYG,85,Breakout,False,81.18,80.73,82.13,2.11,True,False,-0.55,5
2026-01-29,HYG,86,Breakout,False,81.03,80.73,81.96,3.1,False,False,-0.37,2
2026-02-03,HYG,100,Pullback,False,80.71,80.53,81.55,4.67,False,False,-0.22,2
2026-02-06,HYG,100,Pullback,False,80.8,80.45,81.64,2.4,True,False,-0.43,15
2026-02-11,HYG,78,Pullback,False,80.86,80.45,81.66,1.95,True,False,-0.51,12
2026-02-17,HYG,96,Pullback,False,80.81,80.45,81.6,2.19,True,False,-0.45,9
2026-02-20,HYG,55,,True,80.97,80.62,81.75,2.23,True,False,-0.43,6
2026-02-25,HYG,50,,True,80.91,80.66,81.65,2.96,True,False,-0.31,2
2026-04-27,HYG,80,Breakout,False,80.5,79.77,81.99,2.04,True,False,-0.91,5
2026-04-30,HYG,90,,True,80.36,79.81,81.85,2.71,True,False,-0.68,2
2026-05-05,HYG,100,Pullback,False,79.92,79.69,81.41,6.48,False,False,-0.29,8
2025-07-22,KSS,85,Breakout,False,14.36,14.15,17.51,15.0,False,False,-1.46,1
2025-07-25,KSS,100,Breakout,False,12.79,12.56,16.24,15.0,False,False,-1.8,1
2025-11-26,KSS,85,Breakout,False,24.1,23.44,32.63,12.92,False,False,-2.74,4
2024-12-19,LW,90,,True,62.51,60.33,74.52,5.51,False,False,-3.49,12
2024-11-22,PATH,85,Breakout,False,14.25,14.13,16.05,15.0,False,False,-0.84,2
2024-12-06,PATH,100,Breakout,False,14.81,14.13,16.96,3.16,False,False,-4.59,4
2025-01-28,PATH,85,Breakout,False,15.19,14.82,17.84,7.16,False,False,-2.44,1
2025-02-13,PATH,78,Breakout,False,15.14,14.82,17.77,8.22,False,False,-2.11,1
2025-05-23,PATH,85,,True,12.37,11.77,14.85,4.13,False,True,20.05,4
2025-05-29,PATH,90,Breakout,False,12.95,12.49,15.53,5.61,False,False,-3.55,2
2025-06-03,PATH,100,Breakout,False,13.04,12.49,15.69,4.82,False,False,-4.22,8
2025-06-06,PATH,99,Breakout,False,13.2,12.49,15.86,3.75,False,False,-5.38,5
2025-07-14,PATH,100,Pullback,False,12.46,11.79,13.93,2.19,True,False,-5.38,13
2025-07-22,PATH,100,Pullback,False,12.58,12.49,13.93,15.0,False,False,-0.72,1
2025-07-25,PATH,100,Pullback,False,12.18,11.79,13.52,3.44,False,False,-3.2,4
2025-09-29,PATH,86,Breakout,False,12.55,11.86,14.35,2.61,True,True,14.34,1
2025-10-02,PATH,100,Breakout,False,12.73,11.86,14.67,2.23,True,True,15.24,2
2025-10-07,PATH,85,Breakout,False,14.83,14.13,17.39,3.66,False,True,17.26,2
2025-10-10,PATH,85,Breakout,False,17.06,15.67,20.93,2.78,True,False,-8.15,5
2025-10-15,PATH,85,Breakout,False,16.7,15.67,20.52,3.71,False,False,-6.17,2
2025-10-23,PATH,65,,True,15.43,15.29,17.53,15.0,False,False,-0.91,7
2025-10-28,PATH,66,Breakout,False,16.15,15.67,20.16,8.35,False,False,-2.97,2
2025-10-31,PATH,70,,True,15.85,15.67,18.55,15.0,False,False,-1.14,1
2025-11-05,PATH,100,Pullback,False,14.54,14.13,18.29,9.15,False,False,-2.82,1
2025-11-13,PATH,100,Pullback,False,14.08,13.59,17.69,7.37,False,False,-3.48,1
2025-11-18,PATH,100,Pullback,False,13.75,13.59,16.15,15.0,False,False,-1.16,1
2025-11-21,PATH,100,Pullback,False,13.01,11.86,16.4,2.95,True,True,26.06,8
2025-12-05,PATH,85,Breakout,False,18.69,18.41,22.89,15.0,False,False,-1.5,3
2025-12-10,PATH,85,Breakout,False,18.7,18.41,23.05,15.0,False,False,-1.55,1
2025-12-15,PATH,75,,True,16.16,15.67,21.24,10.37,False,False,-3.03,12
2025-12-18,PATH,70,,True,15.94,15.67,19.99,15.0,False,False,-1.69,9
2025-12-23,PATH,85,,True,15.97,15.67,20.47,15.0,False,False,-1.88,6
2025-12-29,PATH,75,,True,16.86,15.67,22.01,4.33,False,False,-7.06,3
2026-01-02,PATH,100,Pullback,False,15.9,15.67,19.35,15.0,False,False,-1.45,1
2026-01-07,PATH,76,Breakout,False,17.83,15.67,22.48,2.15,True,False,-12.11,4
2026-01-12,PATH,69,Breakout,False,17.23,15.65,21.81,2.9,True,False,-9.17,1
2026-01-15,PATH,100,Pullback,False,14.78,14.13,18.77,6.14,False,False,-4.4,2
2026-01-21,PATH,100,Pullback,False,14.2,13.55,17.95,5.77,False,False,-4.58,6
2025-09-19,RCAT,100,Breakout,False,10.46,8.75,14.9,2.6,True,True,42.45,11
2026-03-18,RCAT,82,Breakout,False,17.01,12.49,24.05,1.56,True,False,-26.57,8
2026-05-08,REAL,100,Pullback,False,10.26,9.63,13.11,4.52,False,False,-6.14,2
2024-09-09,TLT,85,Breakout,False,99.98,96.52,105.1,1.48,True,False,-3.46,19
2024-09-12,TLT,85,Breakout,False,100.13,96.52,105.12,1.38,True,False,-3.61,16
2024-09-17,TLT,90,Breakout,False,100.82,97.82,105.83,1.67,True,False,-2.98,6
2024-09-20,TLT,90,,True,98.91,97.93,103.81,5.0,False,False,-0.99,2
2024-09-25,TLT,100,Pullback,False,97.83,97.72,99.48,15.0,False,False,-0.11,1
2024-09-30,TLT,100,Pullback,False,98.09,97.42,102.46,6.52,False,False,-0.68,2
2024-10-03,TLT,100,Pullback,False,96.76,95.58,101.16,3.73,False,False,-1.22,1
2024-10-08,TLT,83,,True,95.02,94.34,99.34,6.35,False,False,-0.72,1
2025-02-27,TLT,85,Breakout,False,91.31,90.65,95.39,6.18,False,False,-0.72,4
2025-03-04,TLT,85,Breakout,False,91.44,90.65,95.6,5.27,False,False,-0.86,1
2025-03-07,TLT,80,,True,90.09,88.76,94.16,3.06,False,False,-1.48,14
2025-03-12,TLT,85,,True,89.86,88.8,93.93,3.84,False,False,-1.18,11
2025-03-17,TLT,70,,True,90.61,88.88,94.67,2.35,True,False,-1.91,8
2025-03-20,TLT,76,Breakout,False,91.28,90.58,95.1,5.46,False,False,-0.77,2
2025-03-25,TLT,100,Pullback,False,89.79,89.08,93.59,5.35,False,False,-0.79,2
2025-03-28,TLT,90,,True,90.16,88.64,94.04,2.55,True,True,4.3,5
2025-04-02,TLT,90,Breakout,False,91.41,90.51,95.36,4.39,False,False,-0.98,3
